DateTime,Air temperature | (°C)
2023-01-01 00:00:00,6.609
2023-01-01 01:00:00,5.257
2023-01-01 02:00:00,4.374
2023-01-01 03:00:00,2.913
2023-01-01 04:00:00,1.152
2023-01-01 05:00:00,1.392
2023-01-01 06:00:00,-0.136
2023-01-01 07:00:00,0.875
2023-01-01 08:00:00,-0.51
2023-01-01 09:00:00,-1.434
2023-01-01 10:00:00,-0.851
2023-01-01 11:00:00,-1.149
2023-01-01 12:00:00,-1.467
2023-01-01 13:00:00,-1.792
2023-01-01 14:00:00,-1.51
2023-01-01 15:00:00,-0.129
2023-01-01 16:00:00,0.578
2023-01-01 17:00:00,1.218
2023-01-01 18:00:00,1.912
2023-01-01 19:00:00,2.415
2023-01-01 20:00:00,2.516
2023-01-01 21:00:00,2.306
2023-01-01 22:00:00,1.474
2023-01-01 23:00:00,-0.151
2023-01-02 00:00:00,-1.479
2023-01-02 01:00:00,-1.583
2023-01-02 02:00:00,-1.902
2023-01-02 03:00:00,-2.703
2023-01-02 04:00:00,-3.204
2023-01-02 05:00:00,-3.529
2023-01-02 06:00:00,-4.063
2023-01-02 07:00:00,-4.453
2023-01-02 08:00:00,-5.077
2023-01-02 09:00:00,-5.459
2023-01-02 10:00:00,-5.782
2023-01-02 11:00:00,-6.201
2023-01-02 12:00:00,-6.524
2023-01-02 13:00:00,-6.89
2023-01-02 14:00:00,-6.769
2023-01-02 15:00:00,-5.901
2023-01-02 16:00:00,-4.994
2023-01-02 17:00:00,-3.947
2023-01-02 18:00:00,-2.871
2023-01-02 19:00:00,-1.869
2023-01-02 20:00:00,-1.122
2023-01-02 21:00:00,-0.623
2023-01-02 22:00:00,-0.797
2023-01-02 23:00:00,-3.509
2023-01-03 00:00:00,-4.454
2023-01-03 01:00:00,-4.608
2023-01-03 02:00:00,-4.668
2023-01-03 03:00:00,-4.658
2023-01-03 04:00:00,-4.785
2023-01-03 05:00:00,-5.107
2023-01-03 06:00:00,-5.299
2023-01-03 07:00:00,-5.188
2023-01-03 08:00:00,-5.208
2023-01-03 09:00:00,-5.023
2023-01-03 10:00:00,-5.166
2023-01-03 11:00:00,-5.275
2023-01-03 12:00:00,-5.328
2023-01-03 13:00:00,-5.388
2023-01-03 14:00:00,-4.076
2023-01-03 15:00:00,-1.465
2023-01-03 16:00:00,1.099
2023-01-03 17:00:00,3.351
2023-01-03 18:00:00,5.101
2023-01-03 19:00:00,6.463
2023-01-03 20:00:00,7.372
2023-01-03 21:00:00,7.613
2023-01-03 22:00:00,5.886
2023-01-03 23:00:00,1.555
2023-01-04 00:00:00,1.758
2023-01-04 01:00:00,0.662
2023-01-04 02:00:00,-1.326
2023-01-04 03:00:00,-1.802
2023-01-04 04:00:00,-2.189
2023-01-04 05:00:00,-2.64
2023-01-04 06:00:00,-2.62
2023-01-04 07:00:00,-2.493
2023-01-04 08:00:00,-2.53
2023-01-04 09:00:00,-2.576
2023-01-04 10:00:00,-2.907
2023-01-04 11:00:00,-3.186
2023-01-04 12:00:00,-3.338
2023-01-04 13:00:00,-3.498
2023-01-04 14:00:00,-2.558
2023-01-04 15:00:00,0.018
2023-01-04 16:00:00,2.479
2023-01-04 17:00:00,5.138
2023-01-04 18:00:00,7.616
2023-01-04 19:00:00,9.395
2023-01-04 20:00:00,10.309
2023-01-04 21:00:00,10.746
2023-01-04 22:00:00,9.284
2023-01-04 23:00:00,5.602
2023-01-05 00:00:00,4.147
2023-01-05 01:00:00,3.241
2023-01-05 02:00:00,2.603
2023-01-05 03:00:00,1.664
2023-01-05 04:00:00,1.164
2023-01-05 05:00:00,0.681
2023-01-05 06:00:00,0.444
2023-01-05 07:00:00,0.326
2023-01-05 08:00:00,0.169
2023-01-05 09:00:00,0.11
2023-01-05 10:00:00,0.133
2023-01-05 11:00:00,-0.019
2023-01-05 12:00:00,-0.221
2023-01-05 13:00:00,-0.357
2023-01-05 14:00:00,0.695
2023-01-05 15:00:00,3.906
2023-01-05 16:00:00,6.879
2023-01-05 17:00:00,9.512
2023-01-05 18:00:00,11.976
2023-01-05 19:00:00,13.807
2023-01-05 20:00:00,15.335
2023-01-05 21:00:00,15.832
2023-01-05 22:00:00,14.54
2023-01-05 23:00:00,10.943
2023-01-06 00:00:00,9.207
2023-01-06 01:00:00,8.108
2023-01-06 02:00:00,7.817
2023-01-06 03:00:00,7.865
2023-01-06 04:00:00,9.235
2023-01-06 05:00:00,8.817
2023-01-06 06:00:00,9.532
2023-01-06 07:00:00,10.363
2023-01-06 08:00:00,10.026
2023-01-06 09:00:00,9.947
2023-01-06 10:00:00,10.517
2023-01-06 11:00:00,10.581
2023-01-06 12:00:00,10.755
2023-01-06 13:00:00,10.432
2023-01-06 14:00:00,10.614
2023-01-06 15:00:00,11.457
2023-01-06 16:00:00,12.983
2023-01-06 17:00:00,14.633
2023-01-06 18:00:00,15.237
2023-01-06 19:00:00,15.131
2023-01-06 20:00:00,15.51
2023-01-06 21:00:00,14.88
2023-01-06 22:00:00,13.757
2023-01-06 23:00:00,12.866
2023-01-07 00:00:00,12.5
2023-01-07 01:00:00,12.274
2023-01-07 02:00:00,12.347
2023-01-07 03:00:00,12.244
2023-01-07 04:00:00,12.129
2023-01-07 05:00:00,11.657
2023-01-07 06:00:00,11.088
2023-01-07 07:00:00,9.895
2023-01-07 08:00:00,9.947
2023-01-07 09:00:00,9.249
2023-01-07 10:00:00,8.387
2023-01-07 11:00:00,9.617
2023-01-07 12:00:00,9.594
2023-01-07 13:00:00,9.819
2023-01-07 14:00:00,9.844
2023-01-07 15:00:00,10.517
2023-01-07 16:00:00,10.854
2023-01-07 17:00:00,11.384
2023-01-07 18:00:00,12.004
2023-01-07 19:00:00,13.282
2023-01-07 20:00:00,14.517
2023-01-07 21:00:00,14.117
2023-01-07 22:00:00,12.751
2023-01-07 23:00:00,12.103
2023-01-08 00:00:00,11.783
2023-01-08 01:00:00,11.735
2023-01-08 02:00:00,11.625
2023-01-08 03:00:00,11.588
2023-01-08 04:00:00,11.813
