DateTime,Wind speed | (m/s)
2023-01-01 00:00:00,10.868
2023-01-01 01:00:00,10.679
2023-01-01 02:00:00,11.2
2023-01-01 03:00:00,10.962
2023-01-01 04:00:00,11.307
2023-01-01 05:00:00,11.562
2023-01-01 06:00:00,11.954
2023-01-01 07:00:00,12.547
2023-01-01 08:00:00,10.588
2023-01-01 09:00:00,9.792
2023-01-01 10:00:00,10.488
2023-01-01 11:00:00,10.022
2023-01-01 12:00:00,10.014
2023-01-01 13:00:00,9.425
2023-01-01 14:00:00,8.695
2023-01-01 15:00:00,8.19
2023-01-01 16:00:00,8.679
2023-01-01 17:00:00,9.148
2023-01-01 18:00:00,9.946
2023-01-01 19:00:00,10.56
2023-01-01 20:00:00,11.217
2023-01-01 21:00:00,11.685
2023-01-01 22:00:00,11.955
2023-01-01 23:00:00,13.1
2023-01-02 00:00:00,11.08
2023-01-02 01:00:00,11.359
2023-01-02 02:00:00,10.49
2023-01-02 03:00:00,8.813
2023-01-02 04:00:00,8.866
2023-01-02 05:00:00,8.949
2023-01-02 06:00:00,8.518
2023-01-02 07:00:00,8.645
2023-01-02 08:00:00,8.041
2023-01-02 09:00:00,8.561
2023-01-02 10:00:00,7.39
2023-01-02 11:00:00,8.286
2023-01-02 12:00:00,6.971
2023-01-02 13:00:00,5.818
2023-01-02 14:00:00,4.921
2023-01-02 15:00:00,4.975
2023-01-02 16:00:00,4.035
2023-01-02 17:00:00,3.372
2023-01-02 18:00:00,3.662
2023-01-02 19:00:00,3.688
2023-01-02 20:00:00,3.879
2023-01-02 21:00:00,3.846
2023-01-02 22:00:00,3.462
2023-01-02 23:00:00,4.074
2023-01-03 00:00:00,4.441
2023-01-03 01:00:00,3.582
2023-01-03 02:00:00,2.903
2023-01-03 03:00:00,2.949
2023-01-03 04:00:00,3.325
2023-01-03 05:00:00,2.695
2023-01-03 06:00:00,3.199
2023-01-03 07:00:00,3.802
2023-01-03 08:00:00,4.442
2023-01-03 09:00:00,5.159
2023-01-03 10:00:00,5.722
2023-01-03 11:00:00,7.101
2023-01-03 12:00:00,7.647
2023-01-03 13:00:00,8.07
2023-01-03 14:00:00,8.233
2023-01-03 15:00:00,5.965
2023-01-03 16:00:00,4.26
2023-01-03 17:00:00,4.933
2023-01-03 18:00:00,5.321
2023-01-03 19:00:00,6.109
2023-01-03 20:00:00,6.485
2023-01-03 21:00:00,6.853
2023-01-03 22:00:00,7.529
2023-01-03 23:00:00,8.864
2023-01-04 00:00:00,10.241
2023-01-04 01:00:00,9.838
2023-01-04 02:00:00,9.769
2023-01-04 03:00:00,9.222
2023-01-04 04:00:00,8.581
2023-01-04 05:00:00,8.229
2023-01-04 06:00:00,7.343
2023-01-04 07:00:00,6.231
2023-01-04 08:00:00,5.274
2023-01-04 09:00:00,4.667
2023-01-04 10:00:00,3.429
2023-01-04 11:00:00,2.514
2023-01-04 12:00:00,2.507
2023-01-04 13:00:00,1.664
2023-01-04 14:00:00,1.328
2023-01-04 15:00:00,0.795
2023-01-04 16:00:00,0.542
2023-01-04 17:00:00,1.247
2023-01-04 18:00:00,1.386
2023-01-04 19:00:00,1.501
2023-01-04 20:00:00,1.474
2023-01-04 21:00:00,2.307
2023-01-04 22:00:00,2.519
2023-01-04 23:00:00,2.929
2023-01-05 00:00:00,3.687
2023-01-05 01:00:00,4.245
2023-01-05 02:00:00,5.345
2023-01-05 03:00:00,5.582
2023-01-05 04:00:00,5.311
2023-01-05 05:00:00,4.693
2023-01-05 06:00:00,4.596
2023-01-05 07:00:00,4.445
2023-01-05 08:00:00,4.409
2023-01-05 09:00:00,4.557
2023-01-05 10:00:00,4.408
2023-01-05 11:00:00,4.21
2023-01-05 12:00:00,4.209
2023-01-05 13:00:00,4.31
2023-01-05 14:00:00,4.529
2023-01-05 15:00:00,4.461
2023-01-05 16:00:00,2.829
2023-01-05 17:00:00,2.711
2023-01-05 18:00:00,3.137
2023-01-05 19:00:00,3.642
2023-01-05 20:00:00,4.269
2023-01-05 21:00:00,4.578
2023-01-05 22:00:00,5.711
2023-01-05 23:00:00,7.221
2023-01-06 00:00:00,8.825
2023-01-06 01:00:00,9.793
2023-01-06 02:00:00,10.784
2023-01-06 03:00:00,10.067
2023-01-06 04:00:00,10.323
2023-01-06 05:00:00,8.562
2023-01-06 06:00:00,9.556
2023-01-06 07:00:00,9.412
2023-01-06 08:00:00,8.313
2023-01-06 09:00:00,7.394
2023-01-06 10:00:00,8.254
2023-01-06 11:00:00,8.317
2023-01-06 12:00:00,7.409
2023-01-06 13:00:00,7.051
2023-01-06 14:00:00,7.547
2023-01-06 15:00:00,7.559
2023-01-06 16:00:00,6.069
2023-01-06 17:00:00,5.332
2023-01-06 18:00:00,4.721
2023-01-06 19:00:00,4.617
2023-01-06 20:00:00,4.458
2023-01-06 21:00:00,4.875
2023-01-06 22:00:00,5.61
2023-01-06 23:00:00,5.369
2023-01-07 00:00:00,5.08
2023-01-07 01:00:00,5.658
2023-01-07 02:00:00,5.738
2023-01-07 03:00:00,4.792
2023-01-07 04:00:00,5.253
2023-01-07 05:00:00,5.759
2023-01-07 06:00:00,5.678
2023-01-07 07:00:00,5.131
2023-01-07 08:00:00,4.007
2023-01-07 09:00:00,3.415
2023-01-07 10:00:00,3.313
2023-01-07 11:00:00,2.479
2023-01-07 12:00:00,1.953
2023-01-07 13:00:00,2.624
2023-01-07 14:00:00,3.219
2023-01-07 15:00:00,3.455
2023-01-07 16:00:00,2.131
2023-01-07 17:00:00,1.223
2023-01-07 18:00:00,0.934
2023-01-07 19:00:00,1.567
2023-01-07 20:00:00,0.834
2023-01-07 21:00:00,0.864
2023-01-07 22:00:00,1.62
2023-01-07 23:00:00,2.521
2023-01-08 00:00:00,2.771
2023-01-08 01:00:00,3.948
2023-01-08 02:00:00,3.517
2023-01-08 03:00:00,3.626
2023-01-08 04:00:00,4.615
2023-01-08 05:00:00,5.518
2023-01-08 06:00:00,3.009
2023-01-08 07:00:00,3.168
2023-01-08 08:00:00,5.076
2023-01-08 09:00:00,4.563
2023-01-08 10:00:00,4.895
2023-01-08 11:00:00,5.575
2023-01-08 12:00:00,2.683
2023-01-08 13:00:00,4.302
2023-01-08 14:00:00,4.208
2023-01-08 15:00:00,3.139
2023-01-08 16:00:00,2.149
2023-01-08 17:00:00,2.716
2023-01-08 18:00:00,1.704
2023-01-08 19:00:00,2.681
2023-01-08 20:00:00,4.62
2023-01-08 21:00:00,3.482
2023-01-08 22:00:00,3.135
2023-01-08 23:00:00,4.528
2023-01-09 00:00:00,4.294
2023-01-09 01:00:00,4.638
2023-01-09 02:00:00,4.38
2023-01-09 03:00:00,3.882
2023-01-09 04:00:00,4.387
2023-01-09 05:00:00,4.174
2023-01-09 06:00:00,3.791
2023-01-09 07:00:00,3.147
2023-01-09 08:00:00,3.782
2023-01-09 09:00:00,4.233
2023-01-09 10:00:00,4.554
2023-01-09 11:00:00,5.115
2023-01-09 12:00:00,4.86
2023-01-09 13:00:00,4.27
2023-01-09 14:00:00,3.711
2023-01-09 15:00:00,3.745
2023-01-09 16:00:00,2.911
2023-01-09 17:00:00,3.704
2023-01-09 18:00:00,4.717
2023-01-09 19:00:00,4.714
2023-01-09 20:00:00,5.329
2023-01-09 21:00:00,5.848
2023-01-09 22:00:00,6.538
2023-01-09 23:00:00,7.91
2023-01-10 00:00:00,8.511
2023-01-10 01:00:00,10.247
2023-01-10 02:00:00,10.13
2023-01-10 03:00:00,9.901
2023-01-10 04:00:00,10.041
2023-01-10 05:00:00,9.487
2023-01-10 06:00:00,8.876
2023-01-10 07:00:00,8.606
2023-01-10 08:00:00,7.904
2023-01-10 09:00:00,6.564
2023-01-10 10:00:00,5.954
2023-01-10 11:00:00,5.949
2023-01-10 12:00:00,7.136
2023-01-10 13:00:00,8.099
2023-01-10 14:00:00,7.583
2023-01-10 15:00:00,7.842
2023-01-10 16:00:00,8.225
2023-01-10 17:00:00,8.271
2023-01-10 18:00:00,8.038
2023-01-10 19:00:00,8.069
2023-01-10 20:00:00,8.705
2023-01-10 21:00:00,9.94
2023-01-10 22:00:00,9.363
2023-01-10 23:00:00,7.194
2023-01-11 00:00:00,8.273
2023-01-11 01:00:00,7.479
2023-01-11 02:00:00,7.578
2023-01-11 03:00:00,7.448
2023-01-11 04:00:00,7.477
2023-01-11 05:00:00,6.808
2023-01-11 06:00:00,6.338
2023-01-11 07:00:00,5.993
2023-01-11 08:00:00,6.181
2023-01-11 09:00:00,6.268
2023-01-11 10:00:00,6.316
2023-01-11 11:00:00,8.519
2023-01-11 12:00:00,7.217
